crop_name,ph,moisture,n,p,k,temperature,rainfall,humidity,latitude,longitude,season,year,yield_achieved,soil_type
Tomato,6.16,60.84,144.91,40.29,148.7,26.2,564.97,73.63,21.360636,88.33261,kharif,2020,27720.95,loamy
Pomegranate,6.97,99.5,24.18,12.63,42.29,20.12,131.75,67.44,21.763022,88.779637,kharif,2022,12177.01,peat
Chickpea,8.46,28.44,32.22,36.2,55.39,21.61,51.14,46.59,10.614556,76.812282,rabi,2022,961.02,chalky
Pigeon Pea,6.59,56.95,27.13,26.59,39.37,25.67,630.88,71.57,25.147502,77.089835,kharif,2022,1412.55,sandy
Groundnut,8.66,36.62,11.37,10.91,29.12,26.93,449.18,57.17,22.447365,86.437013,zaid,2020,1390.52,silt
Wheat,6.87,60.51,145.29,43.39,70.44,17.59,594.92,67.71,22.983927,73.380769,rabi,2020,3962.53,sandy
Blackgram,7.09,59.04,46.87,80.05,22.28,34.63,70.44,60.4,31.883901,79.898483,rabi,2022,1181.29,chalky
Groundnut,8.61,33.99,11.55,13.33,27.18,16.79,334.01,67.26,20.116407,86.635034,kharif,2021,1439.57,clay
Tomato,6.48,73.52,156.11,51.63,144.09,19.27,478.35,54.88,19.252986,72.234261,kharif,2021,31971.3,sandy
Grapes,5.62,35.73,17.27,92.85,168.62,30.8,49.52,64.43,19.585559,75.339463,zaid,2020,14473.23,clay
Apple,7.41,53.3,17.0,107.51,148.12,21.63,76.42,32.48,20.35803,76.185794,rabi,2022,11678.12,chalky
Cotton,5.48,40.96,60.05,17.41,25.38,32.51,408.41,57.7,22.152293,80.63106,zaid,2023,298.78,chalky
Tomato,6.69,95.92,135.14,46.16,156.82,26.1,516.63,71.91,25.446413,89.982828,zaid,2021,33303.89,chalky
Lentil,6.81,91.42,21.31,67.27,22.43,20.39,48.77,63.85,14.597653,78.132803,rabi,2022,837.02,peat
Mungbean,8.38,31.17,10.02,34.3,17.07,30.45,23.65,60.35,22.401409,79.829221,zaid,2022,817.13,loamy
Potato,3.59,50.25,60.86,43.08,97.48,11.01,363.92,63.29,28.904316,78.903832,rabi,2023,20640.99,silt
Mothbeans,7.23,67.97,23.93,53.91,29.38,28.61,31.34,56.33,28.080047,75.51713,kharif,2021,844.18,peat
Papaya,5.83,75.0,47.88,64.96,59.35,25.93,220.56,72.51,22.59368,74.95918,zaid,2022,36116.77,clay
Kidneybeans,5.93,95.35,22.28,66.6,22.01,23.53,83.25,61.78,11.380593,79.721467,rabi,2022,1211.27,sandy
Soybean,6.7,88.98,21.65,41.31,74.2,20.22,779.97,70.86,20.282367,79.679827,kharif,2021,2897.08,clay
Groundnut,6.75,81.05,23.3,24.41,57.14,33.24,550.88,76.2,23.136257,85.11796,kharif,2020,2048.24,clay
Pomegranate,8.36,33.82,12.27,8.6,32.65,24.38,69.78,52.97,12.011364,79.05865,kharif,2022,7024.52,silt
Mango,5.04,36.88,17.56,17.89,15.54,29.62,59.03,44.56,12.282559,77.086778,zaid,2023,6231.67,clay
Rice,7.11,64.73,101.16,28.14,45.64,30.45,1314.47,76.32,20.507676,75.870322,kharif,2020,3193.17,clay
Sugarcane,7.83,60.35,143.34,35.49,52.66,16.85,855.17,62.15,23.983094,74.236237,zaid,2022,42868.47,loamy
Mungbean,4.78,31.35,10.27,21.46,10.39,28.11,26.59,40.71,10.227751,77.200908,kharif,2023,685.89,loamy
Blackgram,7.18,48.9,40.38,81.21,26.36,32.66,62.05,74.79,25.542136,77.378789,kharif,2021,1155.96,sandy
Wheat,6.61,70.33,153.1,33.81,54.9,20.95,584.82,67.08,23.916477,86.190914,rabi,2023,3254.41,chalky
Chickpea,6.44,57.89,48.57,63.8,102.65,18.14,65.1,60.06,24.710431,80.751044,rabi,2022,1599.52,sandy
Pomegranate,6.53,76.67,21.47,12.76,42.89,24.53,109.78,72.94,20.252983,72.442994,rabi,2020,12068.91,loamy
Mungbean,6.48,90.1,29.94,54.58,29.52,28.81,49.25,63.77,23.489183,76.177495,kharif,2020,1027.39,chalky
Pomegranate,7.41,69.51,21.54,12.39,50.75,23.62,133.52,53.8,20.703631,88.268413,zaid,2020,13863.73,peat
Watermelon,6.65,93.92,47.12,29.64,73.4,26.76,48.98,66.09,29.606838,76.882383,zaid,2023,29807.25,clay
Sugarcane,8.43,61.88,134.32,23.22,70.57,25.91,960.04,33.77,30.30681,74.403535,zaid,2023,37325.49,silt
Potato,5.23,91.58,143.17,55.58,215.48,22.48,640.31,57.39,13.967853,76.127114,zaid,2023,28365.38,sandy
Jute,6.26,76.59,94.55,57.46,43.41,23.7,219.52,65.11,11.10323,76.940681,kharif,2022,2573.06,silt
Grapes,6.05,91.85,26.3,173.8,221.07,25.8,71.07,62.19,28.756836,77.701407,zaid,2023,22676.27,sandy
Groundnut,7.36,85.38,25.87,20.85,49.0,31.91,623.65,76.84,22.463592,89.492985,kharif,2022,2337.75,clay
Chilli,6.8,74.62,122.56,40.78,129.31,21.92,492.79,57.37,12.665276,78.526178,rabi,2022,15943.23,sandy
Maize,6.51,60.6,189.94,34.02,64.24,27.82,696.76,50.69,11.118072,79.829292,kharif,2021,4287.65,clay
Muskmelon,6.25,78.74,147.59,26.99,65.44,29.26,24.33,60.28,11.211601,77.886065,zaid,2023,21265.63,sandy
Onion,5.48,38.62,74.81,21.54,44.02,13.25,265.63,46.45,22.200073,77.736422,rabi,2022,16835.2,loamy
Banana,7.21,64.68,85.05,54.2,30.7,32.92,58.43,31.04,31.192815,77.693017,zaid,2023,19074.69,peat
Mothbeans,6.58,69.09,20.23,47.46,21.49,29.5,35.87,75.35,19.011088,72.121694,kharif,2020,798.76,chalky
Watermelon,7.54,48.42,24.11,16.01,31.79,24.25,32.55,66.71,20.877394,80.857774,kharif,2022,16224.19,clay
Grapes,5.51,36.79,15.13,102.28,146.61,28.36,45.92,49.83,22.655169,72.335958,zaid,2023,16232.16,sandy
Groundnut,5.1,31.77,12.85,12.19,32.82,37.58,310.45,32.33,24.530362,88.361634,kharif,2021,1371.84,chalky
Rice,4.44,45.36,70.61,17.78,29.63,35.54,703.52,43.9,30.137694,76.135949,zaid,2020,2438.93,chalky
Wheat,7.06,65.45,129.15,38.64,65.17,22.36,733.59,77.77,28.452952,79.909047,rabi,2021,4030.84,clay
Muskmelon,6.41,64.85,144.2,29.37,58.52,29.64,28.3,70.39,22.261963,87.533559,zaid,2023,19051.96,clay
Rice,6.56,81.63,104.27,20.52,50.63,29.56,1363.05,79.28,22.287571,72.16427,kharif,2022,3058.94,silt
Lentil,6.84,40.8,28.78,68.99,28.23,22.01,44.06,56.79,25.934447,88.351318,rabi,2021,935.15,chalky
Groundnut,4.91,29.52,16.05,12.66,31.91,18.26,351.84,62.31,18.790257,75.43498,year_round,2023,1443.65,chalky
Papaya,5.72,60.49,50.08,53.89,53.2,36.87,176.93,53.16,20.681936,80.274469,kharif,2021,44589.45,clay
Mothbeans,6.62,22.82,17.64,20.46,11.6,25.63,20.09,49.65,21.479772,72.356013,kharif,2022,594.32,silt
Sugarcane,7.29,49.2,116.8,24.5,78.52,25.22,1052.65,34.48,24.719134,81.597719,kharif,2022,53296.03,peat
Maize,6.36,56.96,185.95,28.92,78.19,28.78,848.8,59.53,31.300803,77.997841,kharif,2020,3746.11,sandy
Chilli,6.93,52.54,122.94,32.72,115.12,24.68,570.63,78.01,10.62615,77.528216,rabi,2022,13627.03,chalky
Blackgram,6.68,50.19,57.18,72.11,23.99,28.83,86.15,60.89,25.677853,85.724493,kharif,2021,1048.51,peat
Cotton,7.61,60.93,91.4,24.63,60.96,26.56,511.1,58.33,21.707374,80.727447,kharif,2022,529.74,clay
Maize,6.14,72.59,200.07,26.19,78.72,25.04,650.4,72.11,28.866959,74.574287,zaid,2022,3628.37,loamy
Grapes,8.02,37.04,10.79,116.66,132.03,39.36,43.4,51.05,21.348849,73.783696,zaid,2020,10486.41,loamy
Banana,7.18,63.76,62.61,70.12,41.99,27.68,75.31,37.17,14.315655,77.794102,kharif,2022,21953.56,chalky
Coconut,6.45,62.97,13.45,14.81,15.09,29.11,132.84,46.34,19.714514,72.859118,rabi,2020,7066.41,silt
Jute,6.21,83.1,101.57,45.56,49.87,23.54,202.53,53.79,22.784452,74.926302,kharif,2020,2380.85,chalky
Chilli,6.04,91.62,122.78,43.36,128.47,29.92,432.72,70.75,24.11391,86.131387,rabi,2022,14093.13,silt
Maize,7.84,35.66,81.25,14.75,46.87,23.71,467.89,54.09,30.545963,74.893998,rabi,2023,2973.58,chalky
Apple,6.71,48.84,12.29,78.17,149.21,16.5,61.05,33.62,18.037098,73.975949,rabi,2022,9393.52,clay
Orange,6.3,35.37,16.56,6.52,7.11,7.04,80.25,60.67,20.627719,79.854156,rabi,2022,11272.23,chalky
Mungbean,6.38,60.07,27.1,40.4,25.7,27.02,38.33,78.23,25.983363,78.673717,zaid,2020,1063.18,chalky
Apple,6.36,93.32,29.17,162.53,254.55,22.61,125.84,77.15,23.454435,72.872988,zaid,2023,15859.69,sandy
Groundnut,7.12,47.54,22.08,22.05,43.79,24.67,721.48,73.25,13.986684,77.077672,kharif,2023,2332.47,loamy
Apple,4.41,44.32,14.46,92.35,120.23,18.69,72.01,59.61,24.191678,87.457559,rabi,2022,12148.56,sandy
Wheat,6.92,41.28,133.98,30.37,71.75,23.75,632.23,78.17,20.420178,85.047427,rabi,2020,3205.32,peat
Mango,4.68,83.95,29.8,26.16,32.75,33.11,109.32,75.85,21.673026,75.654447,zaid,2020,9632.63,sandy
Coffee,7.83,45.73,82.44,16.66,20.84,20.52,114.84,51.52,31.866615,79.092077,rabi,2020,646.39,chalky
Pigeon Pea,7.0,76.54,27.32,24.32,40.2,31.53,734.03,64.18,22.465764,79.534859,kharif,2023,1336.35,chalky
Rice,7.21,93.87,109.44,22.79,54.01,32.84,1202.25,76.63,18.50484,72.646515,kharif,2023,3508.7,chalky
Groundnut,8.19,36.15,12.96,11.81,33.97,20.85,330.09,58.61,31.831917,77.018436,rabi,2020,1058.04,chalky
Onion,6.16,70.68,127.35,31.31,95.09,13.48,454.8,78.67,22.113962,85.215501,kharif,2023,19074.57,loamy
Banana,6.88,64.82,63.25,56.01,25.29,20.67,62.71,52.77,30.61784,77.165121,kharif,2023,20305.27,clay
Potato,5.11,94.53,136.49,73.51,195.28,23.22,543.34,64.57,22.956918,77.099594,zaid,2021,26970.61,clay
Muskmelon,5.14,46.77,88.48,14.18,36.06,38.66,17.3,33.92,20.965733,87.046715,zaid,2023,13167.93,sandy
Potato,5.29,73.6,131.13,74.75,173.39,15.79,610.7,57.83,31.741938,75.114398,zaid,2023,25293.82,chalky
Coffee,6.1,72.86,139.7,44.22,43.37,25.03,196.59,67.85,23.559852,74.1441,rabi,2020,843.59,chalky
Sugarcane,7.28,65.33,175.61,31.15,69.83,25.98,1072.96,50.49,24.588806,79.752284,kharif,2022,53938.17,peat
Pigeon Pea,7.86,36.07,15.99,10.91,17.97,34.07,429.51,68.18,10.992714,77.979314,kharif,2020,911.77,sandy
Papaya,6.34,77.97,55.37,68.95,66.77,42.59,196.69,79.71,20.265859,86.60297,kharif,2023,42862.51,loamy
Kidneybeans,6.92,30.9,17.78,50.41,15.65,13.3,52.59,46.92,30.966412,76.31866,zaid,2021,738.72,chalky
Mango,5.13,88.03,26.83,27.24,43.43,27.39,106.72,58.19,29.019528,78.881767,rabi,2020,10855.79,peat
Tomato,6.65,98.46,170.63,46.5,161.24,25.3,497.97,68.92,22.005156,88.654352,zaid,2022,30780.1,clay
Mungbean,5.96,30.29,17.4,33.63,14.19,23.46,24.82,40.22,30.299814,79.339586,zaid,2023,727.81,sandy
Coconut,6.24,90.71,28.78,26.43,43.35,26.39,216.01,66.24,30.908695,74.096463,kharif,2023,9454.83,loamy
Apple,6.16,63.19,26.83,161.3,266.7,23.55,102.78,54.46,30.957646,74.457509,kharif,2023,17643.44,sandy
Banana,5.61,75.48,149.53,91.22,74.39,26.81,123.88,69.73,12.649496,79.373762,kharif,2023,33966.96,chalky
Coffee,6.35,80.03,106.43,44.77,39.12,24.91,202.91,57.32,20.734465,88.795595,kharif,2020,862.93,loamy
Soybean,6.95,55.31,28.42,40.84,51.95,24.93,648.21,79.35,30.612749,76.094315,kharif,2020,2974.67,clay
Jute,6.58,87.83,91.81,48.45,49.73,23.5,162.24,61.96,20.720121,75.558386,kharif,2022,2772.27,sandy
Muskmelon,6.48,64.57,130.42,23.34,70.67,29.15,27.06,69.17,22.406684,74.004082,zaid,2020,19463.55,clay
Cotton,5.92,67.29,97.22,21.43,72.25,23.16,506.36,69.37,18.040262,73.543498,kharif,2022,568.76,clay
Onion,6.81,68.16,117.09,36.51,113.94,22.53,588.2,68.7,22.830584,75.380159,kharif,2020,20370.32,clay
Rice,7.9,47.21,52.65,10.37,29.93,20.23,773.89,43.66,20.832963,88.204374,kharif,2023,1690.97,clay
Chilli,6.28,72.42,111.18,42.86,140.86,24.89,443.55,52.35,28.39338,76.695647,kharif,2020,17732.24,peat
Tomato,7.51,54.92,81.32,30.81,84.43,30.32,241.19,61.12,23.933043,73.932928,rabi,2023,25362.41,chalky
Mango,6.26,65.75,23.21,25.76,38.91,29.8,124.3,67.48,23.058661,85.877275,rabi,2022,11418.63,silt
Jute,6.13,93.54,85.48,55.46,57.11,24.67,170.74,63.98,25.629979,85.428955,kharif,2022,2495.61,loamy
Maize,6.17,58.18,188.61,29.49,77.79,22.69,890.82,57.74,21.95114,80.414312,kharif,2020,3757.05,loamy
Maize,6.91,67.43,212.01,33.34,77.32,19.91,781.49,59.54,31.973348,78.514567,kharif,2022,3708.58,clay
Coffee,4.44,43.43,83.24,15.7,25.55,24.23,116.15,33.26,23.130539,87.085009,zaid,2020,627.66,silt
Grapes,6.12,93.02,21.87,136.66,230.23,20.34,74.51,62.72,14.206542,78.70876,zaid,2023,22186.83,silt
Banana,6.31,89.75,147.02,93.43,63.25,25.4,112.23,60.82,23.260077,74.803118,kharif,2021,38385.11,sandy
Onion,7.2,38.88,81.9,21.1,64.01,19.32,342.82,48.68,25.186198,78.198217,rabi,2023,13325.76,chalky
Sugarcane,5.84,52.76,116.18,25.02,59.66,25.62,1046.82,50.28,30.338672,74.801903,zaid,2022,45874.55,sandy
Grapes,7.24,47.09,14.66,81.48,148.85,35.12,46.07,67.43,20.770234,87.494905,rabi,2020,14575.46,sandy
Soybean,6.24,94.38,29.08,31.4,61.7,26.41,724.09,58.78,23.053651,86.59522,kharif,2023,2976.73,sandy
Mothbeans,7.51,97.61,26.72,58.23,25.02,29.65,42.98,65.0,11.089522,78.59068,kharif,2021,821.22,peat
Maize,6.11,74.08,199.06,29.43,75.77,20.12,716.12,78.91,10.669019,77.674322,kharif,2020,4548.41,sandy
Sugarcane,6.06,63.36,122.84,28.51,70.42,25.11,894.36,30.53,31.214151,79.410644,rabi,2023,39985.08,chalky
Watermelon,6.87,66.78,40.44,26.8,63.7,26.45,47.38,58.81,23.83115,81.287814,zaid,2020,27224.13,peat
Kidneybeans,4.86,29.49,14.61,46.71,11.32,19.13,42.94,58.57,18.085662,74.405267,year_round,2021,836.31,peat
Groundnut,7.32,28.18,12.09,17.01,32.04,27.93,379.44,46.04,21.246743,88.994743,zaid,2023,1562.13,sandy
Papaya,5.97,81.45,49.85,55.01,67.78,42.76,210.79,59.67,21.159201,85.157989,kharif,2021,46227.65,loamy
Potato,4.92,73.76,105.83,63.67,217.68,22.33,664.67,77.95,23.399632,88.285152,zaid,2021,29237.9,sandy
Pigeon Pea,5.05,32.81,13.18,12.69,17.81,28.8,473.72,40.28,25.628323,85.765674,kharif,2022,604.14,clay
Sugarcane,6.3,99.43,295.14,59.9,135.59,28.54,1355.73,63.11,14.905889,76.760431,zaid,2022,79644.5,peat
Rice,4.92,43.7,58.51,17.57,32.5,38.27,892.27,69.84,22.10549,75.819469,year_round,2021,1650.14,sandy
Papaya,5.56,80.41,51.07,53.32,58.57,42.88,156.14,70.06,23.779451,87.757662,zaid,2023,45742.4,loamy
Blackgram,7.03,54.75,55.18,82.89,26.64,33.67,73.09,51.33,24.59329,85.345667,rabi,2021,1038.63,silt
Banana,4.85,52.87,54.62,43.29,40.09,20.42,80.45,69.22,24.363588,89.15506,rabi,2023,19031.42,loamy
Onion,8.14,40.34,77.56,25.36,71.9,10.45,243.65,59.08,20.373231,80.75892,kharif,2020,12179.67,clay
Grapes,6.88,89.54,26.84,160.41,209.29,21.51,67.23,66.12,20.046382,77.961794,rabi,2020,18823.3,chalky
Papaya,5.75,47.1,24.1,42.06,40.34,18.06,114.96,39.52,29.785399,78.071612,kharif,2020,31932.32,sandy
Pigeon Pea,7.1,46.12,23.03,23.45,44.87,26.07,618.73,74.63,13.467549,76.158845,kharif,2023,1382.19,clay
Lentil,7.46,27.67,12.31,41.24,17.91,20.21,25.44,56.78,14.39899,79.428801,zaid,2023,568.14,peat
Papaya,5.59,78.94,51.57,65.89,53.38,29.73,219.85,56.58,23.892955,85.291981,kharif,2021,38616.2,loamy
Papaya,6.3,60.53,47.57,69.05,63.11,39.2,204.92,54.95,21.343449,78.204246,kharif,2022,37376.83,clay
Pomegranate,5.59,37.74,16.37,6.15,23.11,19.15,78.04,54.4,21.040129,73.074988,zaid,2020,8224.23,sandy
Cotton,7.76,94.62,114.09,26.68,64.83,23.59,519.74,57.19,29.141161,76.575096,kharif,2021,490.17,sandy
Pomegranate,6.65,73.91,28.74,13.61,52.86,23.06,120.98,52.9,29.916095,77.595749,zaid,2022,11083.86,sandy
Potato,6.37,42.21,87.15,31.64,102.92,11.63,338.79,31.11,23.288871,85.873236,rabi,2022,15089.41,clay
Mungbean,6.02,96.53,20.17,50.4,26.96,27.36,36.81,51.56,13.115737,79.362213,zaid,2021,1104.79,loamy
Chilli,6.67,85.79,105.13,30.18,106.98,29.73,596.61,64.82,24.927557,86.223275,rabi,2021,15395.85,clay
Banana,5.61,81.74,146.75,91.64,63.02,29.8,105.08,73.36,29.575732,78.37706,rabi,2020,33674.26,chalky
Chickpea,6.17,79.22,56.59,76.87,106.83,18.17,74.11,78.69,20.537791,81.714648,rabi,2020,1672.05,loamy
Chilli,6.09,70.81,117.11,44.72,131.48,21.67,597.24,74.63,10.350343,76.226502,kharif,2023,14041.7,sandy
Groundnut,7.0,82.48,23.79,29.54,57.48,30.7,563.1,69.7,23.235163,81.781703,rabi,2022,2090.53,loamy
Muskmelon,5.65,37.97,69.26,11.35,39.59,28.82,15.4,41.4,10.081885,79.373211,zaid,2022,12643.0,loamy
Pomegranate,5.54,28.42,12.88,6.68,21.58,24.46,76.12,47.77,30.188984,77.259725,zaid,2021,10098.58,peat
Cotton,8.26,37.29,44.45,12.03,42.51,22.68,319.44,57.04,28.42146,78.690943,kharif,2021,362.73,clay
Kidneybeans,5.59,60.26,29.42,82.65,22.08,23.1,80.87,72.97,24.298858,86.932469,kharif,2023,1156.05,silt
Onion,6.95,99.06,107.06,41.45,84.35,17.58,555.05,60.28,21.152097,85.730105,rabi,2022,23628.38,loamy
Lentil,6.76,30.77,27.8,74.34,24.3,29.12,45.56,56.09,10.651642,76.459184,rabi,2022,822.96,silt
Wheat,6.31,42.19,173.88,33.08,54.77,19.72,641.21,51.97,22.719733,87.621951,rabi,2021,3612.8,chalky
Muskmelon,6.17,81.45,119.08,27.35,73.19,33.53,21.72,56.36,25.303815,87.758546,zaid,2022,19527.77,silt
Mungbean,6.33,73.83,21.84,53.6,20.57,27.42,51.6,60.07,12.08674,79.851449,zaid,2021,907.25,peat
Jute,5.58,58.13,45.22,27.71,27.42,29.43,117.18,54.23,31.09138,79.26322,rabi,2020,1612.51,peat
Potato,5.14,76.27,141.91,59.04,214.48,18.28,613.5,72.87,25.339302,80.724994,zaid,2020,26326.11,clay
Tomato,7.52,45.29,62.63,23.27,80.1,13.0,349.8,63.76,10.839073,76.481454,rabi,2021,15709.85,clay
Apple,6.23,70.69,24.25,190.11,216.7,21.19,139.77,68.65,28.655255,74.240887,kharif,2023,14250.36,clay
Groundnut,7.29,53.23,22.33,21.16,46.52,33.88,716.99,64.99,13.034866,76.753999,kharif,2020,2282.98,peat
Papaya,5.36,47.99,23.25,35.52,26.3,39.32,133.54,47.03,24.904174,88.720998,zaid,2022,32035.85,clay
Cotton,5.24,38.64,57.5,16.64,37.12,20.97,322.85,65.98,21.479622,78.388539,kharif,2022,380.8,silt
Apple,4.64,53.09,11.89,72.46,129.92,27.91,73.73,55.71,14.522319,78.274417,kharif,2020,11596.78,silt
